,cond_evidence,cond_question,cond_rating,task,task_complete,uid,num_catch,num_correct,scenario,start
28,random,['bard'],0.0,exculpatory_rateless,0.0,A21HUS2EI1MLUC,1.0,0.0,2.0,2021-02-20 16:56:22
29,credible,['bard'],0.0,exculpatory_rateless,1.0,A17ZTBC2843EBM,6.0,6.0,31.0,2021-02-20 19:31:46
30,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,yetanothertest,,,,
31,random,['bard'],1.0,exculpatory_rateless,1.0,A23H5PTASRYHHB,6.0,6.0,31.0,2021-02-22 21:31:58
32,random,['bard'],1.0,exculpatory_rateless,0.0,A10E77ALJR6R1R,1.0,0.0,5.0,2021-02-22 21:38:51
33,random,['bard'],0.0,exculpatory_rateless,0.0,A7C9ONCFIYRSD,,,,
34,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,AHKWR3I5VHBWS,2.0,0.0,7.0,2021-02-22 21:40:09
35,credible,['bard'],0.0,exculpatory_rateless,0.0,A1N0RSPRK548N2,3.0,0.0,11.0,2021-02-22 21:41:28
36,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A2AVQZWSZH3NS1,4.0,1.0,17.0,2021-02-22 21:47:29
37,random,['bard'],1.0,exculpatory_rateless,0.0,AQXZUVF2QWLYS,2.0,0.0,7.0,2021-02-22 21:51:36
38,random,['bard'],1.0,exculpatory_rateless,1.0,A3MIDLO5S7FU06,6.0,5.0,31.0,2021-02-22 21:52:53
39,credible,['bard'],0.0,exculpatory_rateless,0.0,A3V4AW6DGWBHDO,,,,
40,credible,['bard'],1.0,exculpatory_rateless,0.0,A2SME71SC0IGZ3,,,2.0,2021-02-22 13:57:14
41,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A1K75OHCIM3RNB,2.0,0.0,7.0,2021-02-23 04:07:39
42,credible,['bard'],1.0,exculpatory_rateless,0.0,A3THO9TNFICLD1,4.0,3.0,17.0,2021-02-22 22:14:40
43,random,['bard'],0.0,exculpatory_rateless,1.0,AVFMTS8A5R4XK,6.0,5.0,31.0,2021-02-22 22:15:34
44,credible,['bard'],0.0,exculpatory_rateless,0.0,A2KDLLDJQ5YB4L,2.0,0.0,7.0,2021-02-22 22:16:23
45,random,['bard'],0.0,exculpatory_rateless,0.0,A37JC45Y9GLSA7,,,2.0,2021-02-22 22:31:30
46,credible,['bard'],1.0,exculpatory_rateless,0.0,A3OT9EHUD1UORR,3.0,0.0,11.0,2021-02-22 22:19:20
47,credible,['bard'],1.0,exculpatory_rateless,1.0,A26X8BQELDQSGH,6.0,6.0,31.0,2021-02-22 22:21:17
48,credible,['bard'],0.0,exculpatory_rateless,0.0,A2XS49LRNX8PD4,,,,
49,credible,['bard'],0.0,exculpatory_rateless,0.0,A3B2E83YBR3L6E,,,2.0,2021-02-23 05:22:18
50,random,['bard'],1.0,exculpatory_rateless,1.0,A1ZGIRYMWB9GO5,6.0,6.0,31.0,2021-02-22 22:23:36
51,random,['bard'],0.0,exculpatory_rateless,1.0,ACD400BAWY7QC,6.0,6.0,31.0,2021-02-22 22:38:48
52,credible,['bard'],0.0,exculpatory_rateless,0.0,A2C0VTQOFYUP83,2.0,0.0,9.0,2021-02-22 22:42:49
53,random,['bard'],0.0,exculpatory_rateless,0.0,A1HUIJ5U9UW86A,5.0,2.0,22.0,2021-02-22 22:44:37
54,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,AGRKG3YT3KMD8,6.0,6.0,31.0,2021-02-22 22:47:36
55,random,['bard'],0.0,exculpatory_rateless,0.0,A1GQ2Q1USIMC63,,,,
56,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A3P57IUDHUKNCE,4.0,1.0,17.0,2021-02-22 23:02:38
57,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A20J03BN0PWDQY,3.0,0.0,11.0,2021-02-22 23:00:35
58,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A1M5O9I9OHA7Y1,2.0,1.0,11.0,2021-02-22 23:05:53
59,credible,['bard'],1.0,exculpatory_rateless,1.0,A3P7Y9YBJ875WK,6.0,6.0,31.0,2021-02-22 23:08:13
60,credible,['bard'],1.0,exculpatory_rateless,0.0,A1G187YBG0DVMQ,3.0,3.0,14.0,2021-02-22 23:07:13
61,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,ARPBDM5QZ4XQC,6.0,6.0,31.0,2021-02-22 23:24:28
62,credible,['bard'],0.0,exculpatory_rateless,0.0,A20RVM3V1A3DKX,,,,
63,random,['bard'],1.0,exculpatory_rateless,1.0,AANOKVDS2XRY%20,6.0,6.0,31.0,2021-02-22 23:31:30
64,credible,['bard'],0.0,exculpatory_rateless,1.0,AAL5LUI5U3NAV,6.0,6.0,31.0,2021-02-22 23:34:06
65,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A17FGZ1I5P9RZA,6.0,6.0,31.0,2021-02-22 23:35:40
66,random,['bard'],0.0,exculpatory_rateless,1.0,A8RAYYZKGDBQD,6.0,6.0,31.0,2021-02-22 23:36:29
67,credible,['bard'],0.0,exculpatory_rateless,1.0,A32TG2LFDHYDHK,6.0,6.0,31.0,2021-02-22 23:40:45
68,random,['bard'],0.0,exculpatory_rateless,1.0,AIOOOO5OXWXKM,6.0,6.0,31.0,2021-02-23 00:10:46
69,random,['bard'],0.0,exculpatory_rateless,1.0,A1B58LQOBZ3ZCB,6.0,6.0,31.0,2021-02-23 00:44:23
70,credible,['bard'],0.0,exculpatory_rateless,1.0,A15Y215D57OSO5,6.0,6.0,31.0,2021-02-22 23:46:13
71,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A2JSMMELB161IW,3.0,0.0,11.0,2021-02-22 23:47:34
72,credible,['bard'],0.0,exculpatory_rateless,0.0,A1L1S0IAPZB4MO%20,6.0,3.0,28.0,2021-02-22 23:48:17
73,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A2JWBLTY5A87R7,6.0,4.0,31.0,2021-02-22 23:50:32
74,credible,['bard'],1.0,exculpatory_rateless,1.0,A34ILETXFLY5KX,6.0,5.0,31.0,2021-02-22 23:55:19
75,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A2THN8O1IQIRP7,6.0,6.0,31.0,2021-02-23 00:02:20
76,credible,['bard'],0.0,exculpatory_rateless,1.0,H,6.0,6.0,31.0,2021-02-22 23:59:14
77,random,['bard'],0.0,exculpatory_rateless,0.0,A1N4P4XGQM7NXE,3.0,1.0,11.0,2021-02-22 23:59:43
78,credible,['bard'],0.0,exculpatory_rateless,1.0,A1APUWC5IMC5NV,6.0,6.0,31.0,2021-02-23 00:09:16
79,random,['bard'],0.0,exculpatory_rateless,1.0,%20APUB3MEOMP28M,6.0,6.0,31.0,2021-02-23 00:18:16
80,random,['bard'],1.0,exculpatory_rateless,1.0,ANUG05IDFTWF,6.0,6.0,31.0,2021-02-23 00:25:41
81,credible,['bard'],1.0,exculpatory_rateless,1.0,A1B2CR8HUBIHBE,6.0,6.0,31.0,2021-02-23 00:55:08
82,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,AFSI4GMXWKC2U,6.0,6.0,31.0,2021-02-23 00:30:42
83,credible,['bard'],0.0,exculpatory_rateless,1.0,A9JNK887RVYEX,6.0,6.0,31.0,2021-02-23 00:33:31
84,random,['bard'],1.0,exculpatory_rateless,0.0,A3GQP1COT1BYT4,,,,
85,credible,['bard'],1.0,exculpatory_rateless,0.0,A2WVU1DZO2EB89,,,1.0,2021-02-23 00:47:01
86,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A2KI0ORVSCIUK7,6.0,6.0,30.0,2021-02-23 00:52:01
87,random,['bard'],1.0,exculpatory_rateless,1.0,A1WR3WTEHJEY2D,6.0,6.0,31.0,2021-02-23 00:54:37
88,credible,['bard'],1.0,exculpatory_rateless,1.0,A1B5578ROPM2PA,6.0,5.0,31.0,2021-02-23 00:56:42
89,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A2137K4XEU12TI,6.0,6.0,24.0,2021-02-23 00:57:00
90,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,tthgdfh,,,1.0,2021-02-23 00:59:19
91,random,['bard'],1.0,exculpatory_rateless,1.0,A1KYKT84B2Z6WR,6.0,6.0,31.0,2021-02-23 01:05:43
92,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A14UV7K9LQL4V4,6.0,6.0,31.0,2021-02-23 01:09:18
93,credible,['bard'],1.0,exculpatory_rateless,1.0,AHTJBSTSNVQCM,6.0,6.0,31.0,2021-02-23 01:09:57
94,random,['bard'],1.0,exculpatory_rateless,1.0,A2PJBSDDN22XIX,6.0,5.0,31.0,2021-02-23 01:29:43
95,random,['bard'],1.0,exculpatory_rateless,1.0,A30AGR5KF8IEL,6.0,6.0,31.0,2021-02-23 01:31:30
96,credible,['bard'],0.0,exculpatory_rateless,0.0,A2LED6ZGVIMIJT,,,,
97,random,['bard'],0.0,exculpatory_rateless,1.0,A2CU7OUNAVA9HW,6.0,5.0,31.0,2021-02-23 01:42:19
98,random,['bard'],1.0,exculpatory_rateless,1.0,ADVCIFLB5A9B,6.0,6.0,31.0,2021-02-23 01:44:47
99,credible,['bard'],0.0,exculpatory_rateless,1.0,A2KRQH5VUQOD6U,6.0,6.0,31.0,2021-02-23 01:50:03
100,credible,['bard'],1.0,exculpatory_rateless,0.0,AF33MI00WIY1E,1.0,0.0,3.0,2021-02-23 02:04:37
101,random,['bard'],0.0,exculpatory_rateless,1.0,A1AD0XP7UTCMY2,6.0,6.0,31.0,2021-02-23 02:21:33
102,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A2IW1HIB22T8J7,6.0,4.0,31.0,2021-02-23 02:20:41
103,credible,['bard'],1.0,exculpatory_rateless,0.0,A3A42ASUF124VB,5.0,2.0,22.0,2021-02-23 02:23:10
104,random,['bard'],0.0,exculpatory_rateless,1.0,A1UKGL24L3ADRV,6.0,5.0,31.0,2021-02-23 02:40:24
105,random,['bard'],1.0,exculpatory_rateless,0.0,A2YWCXYQYKC1MT,,,2.0,2021-02-23 02:55:37
106,credible,['bard'],0.0,exculpatory_rateless,0.0,A2P93KBD3WXXTW,3.0,0.0,11.0,2021-02-23 04:23:02
107,random,['bard'],0.0,exculpatory_rateless,0.0,A2Y485S1DTZJKF,3.0,0.0,11.0,2021-02-23 03:25:04
108,credible,['bard'],1.0,exculpatory_rateless,0.0,A2QI7E49C9VLQ7,2.0,0.0,7.0,2021-02-23 03:54:46
109,credible,['bard'],1.0,exculpatory_rateless,0.0,APPOO1EBDMS7M,3.0,2.0,11.0,2021-02-23 04:08:31
110,random,['bard'],0.0,exculpatory_rateless,0.0,A37GV86UVZQOAP,2.0,0.0,7.0,2021-02-23 04:57:02
111,credible,['bard'],1.0,exculpatory_rateless,0.0,A3HYKJ2457U3EN,5.0,3.0,23.0,2021-02-23 05:01:08
112,credible,['bard'],0.0,exculpatory_rateless,0.0,A6XAX4NBQK8W2,,,2.0,2021-02-23 05:02:58
113,credible,['bard'],1.0,exculpatory_rateless,0.0,A1J1URV7017CIP,1.0,0.0,3.0,2021-02-23 05:27:06
114,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A3UM3L5UM107ZZ,6.0,3.0,28.0,2021-02-23 05:36:58
115,random,['bard'],0.0,exculpatory_rateless,0.0,A22YSO271126D8,2.0,0.0,7.0,2021-02-23 08:12:56
116,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A8GPOQK34RDGL,1.0,1.0,3.0,2021-02-23 10:08:35
117,credible,['bard'],0.0,exculpatory_rateless,0.0,A2ZHBK2MDL7L51,6.0,1.0,21.0,2021-02-23 10:26:58
118,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A30NGIKN7761QK,1.0,1.0,2.0,2021-02-23 10:32:21
119,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A2ZGBK2MDL2L51,5.0,2.0,22.0,2021-02-23 10:36:25
120,random,['bard'],1.0,exculpatory_rateless,0.0,A1UPL99BQKB38T,1.0,0.0,2.0,2021-02-23 11:02:09
121,credible,['bard'],0.0,exculpatory_rateless,0.0,AXU73FUENAD66,,,,
122,random,['bard'],0.0,exculpatory_rateless,1.0,A2ASV1PPO4RPOW,6.0,6.0,31.0,2021-02-23 12:48:55
123,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A2JRF141BH3W3Y,6.0,5.0,31.0,2021-02-23 13:10:26
124,credible,['bard'],0.0,exculpatory_rateless,0.0,AL1U6BGXX0WD5,4.0,2.0,19.0,2021-02-23 21:58:08
125,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A13NZ6WOQTSOR5,6.0,6.0,31.0,2021-02-24 00:22:45
126,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A22AD39Z4DLV0O,,,2.0,2021-02-25 19:33:00
127,credible,['bard'],0.0,exculpatory_rateless,0.0,A2C70BTEGE7BGF,2.0,1.0,7.0,2021-02-25 19:37:22
128,credible,['bard'],0.0,exculpatory_rateless,0.0,A3FBR3RTDQYEVC,,,2.0,2021-02-25 19:39:09
129,credible,['bard'],0.0,exculpatory_rateless,1.0,A37XBH865833FE,6.0,6.0,31.0,2021-02-25 19:40:31
130,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,AIY8KHG5LEXNY,3.0,0.0,11.0,2021-02-25 19:42:47
131,random,['bard'],0.0,exculpatory_rateless,0.0,AG6WV3WODQ7IN,,,2.0,2021-02-25 19:43:05
132,random,['bard'],1.0,exculpatory_rateless,1.0,A2UN9IOX58KPIW,6.0,5.0,31.0,2021-02-25 19:46:50
133,credible,['bard'],1.0,exculpatory_rateless,1.0,A32MLNTZDZQWL,6.0,6.0,31.0,2021-02-25 19:54:50
134,credible,['bard'],0.0,exculpatory_rateless,1.0,A2PSR3CMNR1R9X,6.0,6.0,31.0,2021-02-25 19:55:16
135,credible,['bard'],0.0,exculpatory_rateless,1.0,A2EH7IQCDH2Q5D,6.0,6.0,31.0,2021-02-25 20:01:00
136,random,['bard'],1.0,exculpatory_rateless,0.0,A3BM54X5594Z2F,4.0,1.0,17.0,2021-02-25 20:06:13
137,random,['bard'],0.0,exculpatory_rateless,0.0,A2KAS22UOH9WYR,2.0,0.0,7.0,2021-02-25 20:27:56
138,random,['bard'],0.0,exculpatory_rateless,0.0,A3O5X3P3N0KU7I,4.0,1.0,17.0,2021-02-25 20:28:04
139,credible,['bard'],0.0,exculpatory_rateless,0.0,AM6BV9CKRWF2K,4.0,2.0,17.0,2021-02-25 20:30:24
140,credible,['bard'],1.0,exculpatory_rateless,0.0,A1YSF4RSSRS67Z,5.0,2.0,22.0,2021-02-25 20:41:06
141,credible,['bard'],1.0,exculpatory_rateless,0.0,A5K7BE7M1A8GV,2.0,0.0,7.0,2021-02-25 20:42:38
142,credible,['bard'],1.0,exculpatory_rateless,0.0,A2STQGO3R4U09O,1.0,0.0,2.0,2021-02-25 20:44:51
143,credible,['bard'],0.0,exculpatory_rateless,1.0,AFWJT2RB6Y4SZ,6.0,6.0,31.0,2021-02-25 20:48:20
144,random,['bard'],1.0,exculpatory_rateless,0.0,A2SYMGV61FXMXD,,,,
145,credible,['bard'],1.0,exculpatory_rateless,1.0,AU849EHZNGV2Z,6.0,6.0,31.0,2021-02-25 21:06:34
146,credible,['bard'],1.0,exculpatory_rateless,0.0,A3M9ZOPLZIQ2A,3.0,0.0,11.0,2021-02-25 21:14:22
147,credible,['bard'],0.0,exculpatory_rateless,0.0,A315P7Y2AO1ZAV,6.0,3.0,28.0,2021-02-25 21:18:19
148,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A3VK30XKUW6N84,1.0,0.0,7.0,2021-02-25 21:19:41
149,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,AFIZI4VWF6YV5,5.0,2.0,22.0,2021-02-25 21:23:43
150,random,['bard'],1.0,exculpatory_rateless,0.0,A1V7KFR9YWUY56,4.0,1.0,17.0,2021-02-25 21:31:21
151,random,['bard'],0.0,exculpatory_rateless,0.0,JSKFA88efe33SFC,,,,
152,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,AA5ZDXAA2DLY1,6.0,6.0,31.0,2021-02-25 21:36:03
153,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A24C6QQIDFZ5NO,5.0,2.0,22.0,2021-02-25 21:36:50
154,credible,['bard'],1.0,exculpatory_rateless,1.0,AE015UO038LEC,6.0,6.0,31.0,2021-02-25 21:49:21
155,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A3CF8ULBSE8MTL,6.0,6.0,31.0,2021-02-25 21:48:19
156,credible,['bard'],1.0,exculpatory_rateless,1.0,AWDH0OEW6ISZ2,6.0,6.0,31.0,2021-02-25 22:02:18
157,credible,['bard'],1.0,exculpatory_rateless,0.0,A1FH0Y12VSXUMK,3.0,3.0,13.0,2021-02-25 22:08:29
158,credible,['bard'],1.0,exculpatory_rateless,0.0,A12XMUO7UW08EK,2.0,2.0,7.0,2021-02-25 22:21:01
159,random,['bard'],1.0,exculpatory_rateless,1.0,A2YQ3OAU7Q5YR8,6.0,6.0,31.0,2021-02-25 22:20:43
160,credible,['bard'],0.0,exculpatory_rateless,1.0,A2EP5M61OBZYLF,6.0,6.0,31.0,2021-02-25 22:28:52
161,random,['bard'],1.0,exculpatory_rateless,1.0,A3DZVN0RJGJ8XM,6.0,6.0,31.0,2021-02-25 22:22:34
162,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A1YMF916E6DM6Z,6.0,6.0,31.0,2021-02-25 22:25:54
163,random,['bard'],0.0,exculpatory_rateless,0.0,A3BS891GDX2MZS,2.0,0.0,7.0,2021-02-25 22:28:17
164,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,ALKQPW0O9C98N,,,,
165,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A1CO5ONFXX6VLN,6.0,6.0,31.0,2021-02-25 22:33:28
166,credible,['bard'],1.0,exculpatory_rateless,1.0,A2Z2OV7QGU10QN,6.0,6.0,31.0,2021-02-25 22:33:45
167,credible,['bard'],0.0,exculpatory_rateless,1.0,AWN8SISULPG1E,6.0,5.0,31.0,2021-02-25 22:34:33
168,credible,['bard'],1.0,exculpatory_rateless,1.0,A21Y7K669KM1PR,6.0,6.0,31.0,2021-02-25 22:36:45
169,random,['bard'],0.0,exculpatory_rateless,1.0,A3OG0CWF19INEH,6.0,6.0,31.0,2021-02-25 22:37:03
170,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A1UZ91EFSJFUM8,6.0,6.0,31.0,2021-02-25 22:39:19
171,random,['bard'],1.0,exculpatory_rateless,0.0,A1VKVBVPK57OD5,2.0,0.0,7.0,2021-02-25 22:39:21
172,credible,['bard'],1.0,exculpatory_rateless,0.0,AS2MFSWNC5CQI,4.0,4.0,17.0,2021-02-25 22:43:36
173,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A1UZ02W2GK883U,6.0,6.0,31.0,2021-02-25 22:44:02
174,random,['bard'],0.0,exculpatory_rateless,1.0,A7WVKWZKY0IRD,6.0,5.0,31.0,2021-02-25 22:51:10
175,random,['bard'],0.0,exculpatory_rateless,0.0,A1JOJM9JG53H9R,,,2.0,2021-02-25 22:52:23
176,credible,['bard'],1.0,exculpatory_rateless,0.0,A2Z75NJBZ46RE9,5.0,3.0,20.0,2021-02-25 22:53:58
177,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A207T1T5FX6H7D,6.0,6.0,31.0,2021-02-25 23:09:23
178,credible,['bard'],1.0,exculpatory_rateless,0.0,A1TNICCDSHTUXS,2.0,2.0,10.0,2021-02-25 23:03:09
179,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A2MUOR5H62S8OG,4.0,1.0,17.0,2021-02-25 23:03:33
180,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A3MYQGYGHTZVCP,6.0,6.0,31.0,2021-02-25 23:11:44
181,random,['bard'],1.0,exculpatory_rateless,1.0,A3NVUHG65ES2Y,6.0,6.0,31.0,2021-02-25 23:24:04
182,credible,['bard'],0.0,exculpatory_rateless,1.0,A1FGKIKJYSL1MI,6.0,6.0,31.0,2021-02-25 23:24:15
183,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A22J1U3RTB7TG4,6.0,6.0,31.0,2021-02-25 23:31:56
184,credible,['bard'],0.0,exculpatory_rateless,1.0,a2n44ymd67y63d,6.0,6.0,31.0,2021-02-25 23:36:25
185,credible,['bard'],0.0,exculpatory_rateless,0.0,A1A5EPWCVYLGOM,4.0,1.0,17.0,2021-02-25 23:35:52
186,credible,['bard'],0.0,exculpatory_rateless,1.0,A2BT7QVGXJKFKI,6.0,6.0,31.0,2021-02-25 23:45:29
187,credible,['bard'],1.0,exculpatory_rateless,0.0,A3NBNSLRLDTLOG,5.0,2.0,22.0,2021-02-25 23:47:02
188,credible,['bard'],0.0,exculpatory_rateless,1.0,A37VR7ZPZBGC33,6.0,4.0,31.0,2021-02-25 23:50:14
189,credible,['bard'],1.0,exculpatory_rateless,1.0,A6ASUA3LW2EYV,6.0,6.0,31.0,2021-02-25 23:51:33
190,credible,['bard'],1.0,exculpatory_rateless,1.0,A2RM1DEJOE6T3X,6.0,6.0,31.0,2021-02-25 23:52:22
191,random,['bard'],0.0,exculpatory_rateless,1.0,A2VHM8EO3FBGP,6.0,6.0,31.0,2021-02-26 00:03:31
192,random,['bard'],1.0,exculpatory_rateless,1.0,AL5MR5NR0VYFI,6.0,6.0,31.0,2021-02-26 00:09:31
193,random,['bard'],0.0,exculpatory_rateless,1.0,AE63GABJL0FGJ,6.0,6.0,31.0,2021-02-26 00:21:53
194,random,['bard'],1.0,exculpatory_rateless,0.0,A84LXRLRLXPCY,3.0,1.0,11.0,2021-02-26 00:46:16
195,credible,['bard'],0.0,exculpatory_rateless,1.0,A1M3HU7RRX0BXZ,6.0,6.0,31.0,2021-02-26 00:54:58
196,random,['bard'],1.0,exculpatory_rateless,1.0,A2NK89ZPYIMP87,6.0,5.0,31.0,2021-02-26 01:01:47
197,credible,['bard'],1.0,exculpatory_rateless,1.0,ARQ7R97434PM2,6.0,5.0,31.0,2021-02-26 01:04:39
198,credible,['bard'],1.0,exculpatory_rateless,1.0,APF1EAZT104LQ,6.0,6.0,31.0,2021-02-26 01:05:53
199,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A1CHU9J9YU9CS8,6.0,6.0,31.0,2021-02-26 01:11:59
200,credible,['bard'],0.0,exculpatory_rateless,0.0,A3TYCJO2DG3RMH,2.0,1.0,8.0,2021-02-26 01:12:22
201,random,['bard'],0.0,exculpatory_rateless,1.0,A2LBH2X1DIWOD,6.0,6.0,31.0,2021-02-26 01:15:01
202,random,['bard'],1.0,exculpatory_rateless,1.0,A1SKBBTD0PJI6G,6.0,6.0,31.0,2021-02-26 01:14:37
203,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,AR0UKLOCTE3Q0,5.0,2.0,22.0,2021-02-26 02:13:16
204,credible,['bard'],0.0,exculpatory_rateless,0.0,A2IMGMVY8TRJE4,,,2.0,2021-02-26 02:39:10
205,credible,['bard'],0.0,exculpatory_rateless,0.0,A2V04K34HKAD9M,1.0,1.0,5.0,2021-02-26 02:43:12
206,credible,['bard'],0.0,exculpatory_rateless,0.0,A1927EGFNSOBTJ,3.0,0.0,11.0,2021-02-26 04:32:58
207,credible,['bard'],1.0,exculpatory_rateless,1.0,A2WTOTXURSH2LR,6.0,4.0,31.0,2021-02-26 04:44:53
208,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A1CVAA9NN0IT5G,1.0,0.0,5.0,2021-02-26 14:28:51
209,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A1UUSPQR8K5230,2.0,0.0,7.0,2021-02-26 07:50:35
210,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A1ANS0LT8M32JD,5.0,3.0,22.0,2021-02-26 09:48:21
211,credible,['bard'],1.0,exculpatory_rateless,1.0,A2BPBE6D5JKT6Q,6.0,6.0,31.0,2021-02-26 11:38:29
212,credible,['bard'],1.0,exculpatory_rateless,1.0,A1OVBBM0WHOVNT,6.0,6.0,31.0,2021-03-02 00:08:10
213,random,['bard'],1.0,exculpatory_rateless,1.0,A3LGH2ISF18Z9W,6.0,5.0,31.0,2021-03-02 00:16:54
