,cond_evidence,cond_question,task,task_complete,uid,num_catch,num_correct,scenario,start
27,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3RZAUWEE77S82,,,,
28,random,['bard'],exculpatory_conditional,0.0,A1DMEGX3P8194N,1.0,1.0,2.0,2020-12-09 15:31:34
29,inculpatory,['bard'],exculpatory_conditional,0.0,A179BU0M6MUF4R,,,1.0,2020-12-09 15:34:39
30,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,ATPXLUQECTOD2,1.0,0.0,2.0,2020-12-09 15:33:08
31,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1CXOIKE5ABPHO,,,,
32,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,AJZTS2L4W9M7Z,6.0,4.0,31.0,2020-12-09 17:30:52
33,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1ZODC8PBI1JIJ,,,,
34,random,['bard'],exculpatory_conditional,0.0,A18ASA8WO5DUS6,,,,
35,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,xgfdertest,1.0,0.0,4.0,2020-12-09 16:30:16
36,random,['bard'],exculpatory_conditional,0.0,testtesttest,,,1.0,2020-12-09 16:36:24
37,credible,['bard'],exculpatory_conditional,1.0,AHAD76MW0OBP,6.0,6.0,31.0,2020-12-09 17:15:57
38,inculpatory,['bard'],exculpatory_conditional,0.0,AQ35C63DKLQ02,4.0,1.0,17.0,2020-12-09 17:17:27
39,inculpatory,['bard'],exculpatory_conditional,1.0,APB33P7IQEEWK,6.0,6.0,31.0,2020-12-09 17:16:32
40,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A2SU0O75VYGUTR,6.0,6.0,31.0,2020-12-09 17:29:10
41,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2RD5BQLY57T1P,5.0,2.0,22.0,2020-12-10 06:55:13
42,inculpatory,['bard'],exculpatory_conditional,0.0,A3EXP0MO3BQRVO,1.0,1.0,6.0,2020-12-09 18:02:50
43,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1WX06MCBUD03C,6.0,3.0,28.0,2020-12-09 18:10:23
44,credible,['bard'],exculpatory_conditional,0.0,A872146DSKJF,,,1.0,2020-12-09 18:11:52
45,inculpatory,['bard'],exculpatory_conditional,1.0,A2D2JX8R0QU9G4,6.0,6.0,31.0,2020-12-09 18:34:59
46,random,['bard'],exculpatory_conditional,0.0,A2STYP1LL5OZEI,,,,
47,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A8S4SJJ0S6L29,6.0,4.0,31.0,2020-12-09 18:54:05
48,inculpatory,['bard'],exculpatory_conditional,0.0,AH5YADVNFLETW,,,,
49,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A16R2T29YRY15I,6.0,6.0,31.0,2020-12-09 20:36:09
50,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1CDPZMO705DEQ,5.0,2.0,22.0,2020-12-09 20:38:10
51,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2GKVQ1B4BRESD,,,2.0,2020-12-09 20:36:20
52,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A2UR8ZKKO51K5N,6.0,6.0,31.0,2020-12-09 20:40:49
53,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A30BSJVCI7M54I,6.0,4.0,31.0,2020-12-09 20:45:10
54,random,['bard'],exculpatory_conditional,1.0,A20K3Y13J7378R,6.0,4.0,31.0,2020-12-09 20:48:34
55,random,['bard'],exculpatory_conditional,0.0,A2ZHBK2MDL2L51,5.0,2.0,22.0,2020-12-09 20:51:09
56,inculpatory,['bard'],exculpatory_conditional,0.0,AIWSB4YTN32GF,2.0,2.0,9.0,2020-12-09 21:13:02
57,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A20N1NK5X5S88F,6.0,6.0,31.0,2020-12-09 21:30:40
58,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A337Y4X67PY4QI,6.0,6.0,31.0,2020-12-09 21:38:41
59,inculpatory,['bard'],exculpatory_conditional,1.0,A3ID0DMOFIWSMY,6.0,4.0,31.0,2020-12-09 21:40:25
60,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A4G52U0SL6JC9,6.0,3.0,28.0,2020-12-05 21:36:47
61,random,['bard'],exculpatory_conditional,0.0,AYWWE1UD0XJFB,3.0,1.0,11.0,2020-12-09 22:00:12
62,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,ARXOBFL5GYG57,4.0,2.0,17.0,2020-12-09 22:20:54
63,credible,['bard'],exculpatory_conditional,0.0,A7PW12EI5IYUC,4.0,1.0,17.0,2020-12-09 22:34:28
64,random,['bard'],exculpatory_conditional,0.0,AT20PW4G38BMM,1.0,0.0,2.0,2020-12-09 22:35:03
65,inculpatory,['bard'],exculpatory_conditional,1.0,A21Z96QC4W1KYN,6.0,6.0,31.0,2020-12-09 22:39:43
66,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3197EMDUFJOOQ,4.0,1.0,17.0,2020-12-09 22:42:03
67,inculpatory,['bard'],exculpatory_conditional,1.0,A30Q905XWQP2S8,6.0,5.0,31.0,2020-12-09 22:44:03
68,random,['bard'],exculpatory_conditional,0.0,BRITTIANIE%20WALKO,5.0,2.0,22.0,2020-12-09 22:48:57
69,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3Q9TH5675PIAH,,,,
70,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A2MOC4PTJYY15B,6.0,6.0,31.0,2020-12-09 22:57:09
71,credible,['bard'],exculpatory_conditional,0.0,A16TN5X2SAPVCA,,,1.0,2020-12-09 22:59:03
72,random,['bard'],exculpatory_conditional,0.0,A1YNYXF6MR3V6Q,4.0,1.0,17.0,2020-12-09 23:05:55
73,inculpatory,['bard'],exculpatory_conditional,0.0,A2FACS78RSNAU3,1.0,1.0,2.0,2020-12-09 23:17:22
74,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A6ZAKE3FP8YKY,6.0,6.0,31.0,2020-12-09 23:19:51
75,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A31BIJVDYW40U2,6.0,3.0,28.0,2020-12-09 23:20:33
76,random,['bard'],exculpatory_conditional,0.0,A1YO75Q6M618HU,2.0,1.0,7.0,2020-12-09 23:29:44
77,credible,['bard'],exculpatory_conditional,1.0,A2YC6PEMIRSOAA,6.0,5.0,31.0,2020-12-09 23:33:14
78,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,AYVNBNVR4NO6T,2.0,2.0,7.0,2020-12-09 23:36:14
79,random,['bard'],exculpatory_conditional,0.0,ADYPY8JXSEPHB,6.0,3.0,28.0,2020-12-09 23:38:54
80,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1XEESFWD6X2R2,,,,
81,random,['bard'],exculpatory_conditional,0.0,A1WVJ1Y7LOEBWF,4.0,1.0,17.0,2020-12-10 00:18:50
82,random,['bard'],exculpatory_conditional,1.0,A3N40Z29QX64UJ,6.0,6.0,31.0,2020-12-10 00:41:01
83,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,AVA9NOJEXUZH8,6.0,5.0,31.0,2020-12-10 00:40:38
84,credible,['bard'],exculpatory_conditional,0.0,ADE7A45FZKZYZ,3.0,0.0,11.0,2020-12-10 00:44:37
85,inculpatory,['bard'],exculpatory_conditional,0.0,ABRO8HPL2QU53,3.0,0.0,11.0,2020-12-10 01:13:37
86,inculpatory,['bard'],exculpatory_conditional,0.0,A1EPF6FSQT3PMO,5.0,2.0,21.0,2020-12-10 01:21:54
87,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1AUA7XGKD5HGW,4.0,1.0,17.0,2020-12-10 01:29:25
88,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A3T9WZOUQGE2UW,6.0,6.0,31.0,2020-12-10 01:46:45
89,random,['bard'],exculpatory_conditional,0.0,A39K9AUNFHTAVX,,,,
90,random,['bard'],exculpatory_conditional,1.0,AMSC9C0BDL66O,6.0,6.0,31.0,2020-12-10 01:38:38
91,credible,['bard'],exculpatory_conditional,0.0,AMSC9C0BDL66O,6.0,6.0,31.0,2020-12-10 01:38:38
92,random,['bard'],exculpatory_conditional,0.0,A1GVWEIVOTYF1B,7.0,1.0,17.0,2020-12-10 01:40:32
93,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2GXJIQGLVM1I7,4.0,1.0,17.0,2020-12-10 01:44:14
94,credible,['bard'],exculpatory_conditional,0.0,A27NM2WZXST2HD,3.0,0.0,11.0,2020-12-10 02:12:47
95,random,['bard'],exculpatory_conditional,0.0,A3ILB6HL019K92,,,2.0,2020-12-10 02:14:23
96,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A3Q5PW77KNIHFZ,6.0,6.0,31.0,2020-12-10 02:18:58
97,inculpatory,['bard'],exculpatory_conditional,1.0,A11EBMORZXLJJJ,6.0,5.0,31.0,2020-12-10 02:22:02
98,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A1JWAHBHP59E9H,6.0,6.0,31.0,2020-12-10 02:22:04
99,credible,['bard'],exculpatory_conditional,1.0,A3IDJVAGS1SCJ5,6.0,6.0,31.0,2020-12-10 02:46:27
100,inculpatory,['bard'],exculpatory_conditional,0.0,AYR6ZQ8YXMSF5,3.0,0.0,11.0,2020-12-10 02:47:01
101,random,['bard'],exculpatory_conditional,0.0,A2G6YNOLVRPS8Z,2.0,1.0,7.0,2020-12-10 02:52:15
102,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A104UA9AMS2P9O,6.0,6.0,31.0,2020-12-10 03:31:34
103,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1H6DME332958N,4.0,1.0,17.0,2020-12-10 03:34:55
104,credible,['bard'],exculpatory_conditional,1.0,A1W3QW2GKDBHWE,6.0,5.0,31.0,2020-12-10 04:11:33
105,credible,['bard'],exculpatory_conditional,0.0,AL8TL480ET24G,3.0,1.0,7.0,2020-12-10 08:32:10
106,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,ALF3RHOV9649Q,2.0,0.0,8.0,2020-12-10 10:40:58
107,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,AQ6GU6IZHIFWZ,6.0,6.0,31.0,2020-12-10 10:59:20
108,inculpatory,['bard'],exculpatory_conditional,0.0,A3DUPRZSMU9W5R,3.0,3.0,15.0,2020-12-10 12:38:50
109,credible,['bard'],exculpatory_conditional,0.0,A2M6NAML0AGAJZ,3.0,0.0,11.0,2020-12-10 12:39:17
110,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,AURJJZT705H,3.0,1.0,14.0,2020-12-10 12:40:21
111,inculpatory,['bard'],exculpatory_conditional,0.0,A183NCBVNIITY8,4.0,1.0,17.0,2020-12-10 12:40:42
112,inculpatory,['bard'],exculpatory_conditional,0.0,AYKUOC2P53YUY,2.0,1.0,10.0,2020-12-10 12:45:41
113,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3KZEX1DDMXKDU,,,1.0,2020-12-10 12:45:34
114,random,['bard'],exculpatory_conditional,0.0,A3BV3UTERL8G0D,,,2.0,2020-12-10 12:43:25
115,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1UOOMLIEMRX02,,,,
116,credible,['bard'],exculpatory_conditional,0.0,A8E3Z8XA32R90,,,,
117,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1291IB8XYSOOZ,,,1.0,2020-12-10 20:49:02
118,random,['bard'],exculpatory_conditional,0.0,A3BQYH98U0B97Y,,,2.0,2020-12-10 12:47:24
119,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1RFECS63DTC3U,1.0,0.0,2.0,2020-12-10 12:46:47
120,credible,['bard'],exculpatory_conditional,0.0,A2BABL5AHUOYC7,1.0,1.0,4.0,2020-12-10 12:48:28
121,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1Y9D4RKC3BZQ3,,,,
122,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A219NJ4C0XSZFQ,,,1.0,2020-12-10 12:51:01
123,random,['bard'],exculpatory_conditional,0.0,AN17J394HQUGR,,,,
124,inculpatory,['bard'],exculpatory_conditional,0.0,A33BNKC3ALUAHC,4.0,2.0,17.0,2020-12-10 15:31:13
125,credible,['bard'],exculpatory_conditional,1.0,A3O2SXUZ82SLG5,6.0,6.0,31.0,2020-12-10 15:41:20
126,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A2YGC39ELGDQ0,6.0,5.0,31.0,2020-12-10 15:41:43
127,random,['bard'],exculpatory_conditional,0.0,A2BWBA14P7IIXS,3.0,0.0,11.0,2020-12-10 15:42:46
128,inculpatory,['bard'],exculpatory_conditional,0.0,A30AVAUE0IWH8K,4.0,1.0,17.0,2020-12-10 15:53:03
129,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A29WY9TS23RGCX,2.0,0.0,7.0,2020-12-10 15:54:01
130,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A2WC8DV7EB0FOY,6.0,5.0,31.0,2020-12-10 15:58:56
131,inculpatory,['bard'],exculpatory_conditional,1.0,A4548F39QG6RH,6.0,4.0,31.0,2020-12-10 16:04:30
132,random,['bard'],exculpatory_conditional,0.0,AJ344H1A3BMAC,3.0,0.0,11.0,2020-12-10 16:10:26
133,inculpatory,['bard'],exculpatory_conditional,1.0,A2OAQKG05DAINW,6.0,5.0,31.0,2020-12-10 16:47:16
134,random,['bard'],exculpatory_conditional,0.0,A1SEIDC684CBLV,,,,
135,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A2EPBSY0VPI38S,6.0,6.0,31.0,2020-12-10 16:29:19
136,inculpatory,['bard'],exculpatory_conditional,0.0,A2HO2H720XV8HU,3.0,1.0,11.0,2020-12-10 16:22:26
137,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2XG2PT1TH7BAF,4.0,1.0,17.0,2020-12-10 16:29:00
138,inculpatory,['bard'],exculpatory_conditional,0.0,A26MS4PXKMFRV3,1.0,0.0,6.0,2020-12-10 16:20:03
139,credible,['bard'],exculpatory_conditional,0.0,A3OLBTISKEB354,4.0,1.0,17.0,2020-12-10 16:32:25
140,inculpatory,['bard'],exculpatory_conditional,0.0,A398HHOZ31F0KW,,,,
141,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A58W2BH6P68HP,1.0,0.0,2.0,2020-12-10 16:30:39
142,inculpatory,['bard'],exculpatory_conditional,0.0,A6ECCFRGJYRQ7,,,,
143,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1C2PM0H6Y3835,4.0,1.0,17.0,2020-12-10 16:36:23
144,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1KOBLL83SICGQ,3.0,3.0,15.0,2020-12-10 15:40:16
145,credible,['bard'],exculpatory_conditional,0.0,A2F1TOP137DLVS,3.0,0.0,11.0,2020-12-10 16:40:54
146,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A3914P24XPNPY3,6.0,6.0,31.0,2020-12-10 16:41:37
147,inculpatory,['bard'],exculpatory_conditional,0.0,A3NYIJYBHAJ74V,3.0,0.0,11.0,2020-12-10 16:44:36
148,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2061L1AOYI5H0,,,,
149,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A1J4SLXI1A1PF,6.0,6.0,31.0,2020-12-10 16:54:05
150,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A49WTQG4MBT9Z,6.0,6.0,31.0,2020-12-10 16:52:17
151,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A2G7F8S617H0BB,6.0,6.0,31.0,2020-12-10 16:55:32
152,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A30IRRLVNC7MZS,3.0,1.0,11.0,2020-12-10 16:56:52
153,random,['bard'],exculpatory_conditional,1.0,A2PBRGT71DUYOY,6.0,6.0,31.0,2020-12-10 17:08:38
154,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A1H198MRIM37T1,6.0,6.0,31.0,2020-12-10 17:02:51
155,inculpatory,['bard'],exculpatory_conditional,0.0,A1TEXCUTI4IUUN,,,,
156,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,AVRYLIZIPNB87,3.0,0.0,11.0,2020-12-10 17:02:19
157,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,AP05055ECEO89,6.0,6.0,31.0,2020-12-10 17:11:40
158,random,['bard'],exculpatory_conditional,0.0,ATL5E9WVVHYPR,3.0,0.0,11.0,2020-12-10 17:12:41
159,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A3FES0O1E6NHO7,6.0,5.0,31.0,2020-12-10 17:18:02
160,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,AUKLH5Q03CV9Y,6.0,5.0,31.0,2020-12-10 17:19:00
161,credible,['bard'],exculpatory_conditional,0.0,A1KWGO222QQ31O,2.0,1.0,7.0,2020-12-10 17:20:11
162,credible,['bard'],exculpatory_conditional,0.0,ALQPYL9K0CJTR,4.0,1.0,17.0,2020-12-10 17:20:08
163,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2PB1IT2WPJ9PK,,,2.0,2020-12-10 17:20:44
164,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A21RZDH4S1Z9T7,6.0,6.0,31.0,2020-12-10 17:21:25
165,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A19X9UT6X9JXYW,6.0,4.0,31.0,2020-12-10 17:21:25
166,random,['bard'],exculpatory_conditional,0.0,AXNWW5TRHTKBP,6.0,3.0,28.0,2020-12-10 17:23:33
167,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2YFQS0N1IAN9I,1.0,1.0,6.0,2020-12-10 17:29:08
168,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2Z9AM6QCN05K6,,,2.0,2020-12-10 17:29:26
169,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3OORE3AIVRIHU,,,,
170,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2FBEX2BHDFY7F,,,2.0,2020-12-10 17:41:01
171,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,AJ5DO6BRNXQOA,3.0,0.0,11.0,2020-12-10 17:34:14
172,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A1IKH0O3IO4RFC,6.0,6.0,31.0,2020-12-10 17:35:51
173,inculpatory,['bard'],exculpatory_conditional,1.0,A2WQTXH9WEQDGI,6.0,5.0,31.0,2020-12-10 17:41:43
174,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A3OP9SCMH0KPJL,6.0,6.0,31.0,2020-12-10 17:41:23
175,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A1M0QJIES2FARU,6.0,6.0,31.0,2020-12-10 17:45:59
176,inculpatory,['bard'],exculpatory_conditional,0.0,A239GSKF28AAC2,5.0,2.0,22.0,2020-12-10 17:48:12
177,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,AO2XF7FZ9TKTB,,,,
178,random,['bard'],exculpatory_conditional,1.0,A2UNX0YQHOQ9WZ,6.0,5.0,31.0,2020-12-10 17:54:28
179,credible,['bard'],exculpatory_conditional,0.0,A2P7GFS8Q54EB2,4.0,4.0,17.0,2020-12-10 18:12:42
180,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1W6R9PXWYYSL,,,,
181,inculpatory,['bard'],exculpatory_conditional,0.0,A1WPLIFLNRVL99,3.0,0.0,11.0,2020-12-10 18:19:01
182,credible,['bard'],exculpatory_conditional,0.0,A293TGPOMBEEBQ,,,,
183,inculpatory,['bard'],exculpatory_conditional,0.0,A2ZPBM69ETIAPH,5.0,2.0,22.0,2020-12-10 18:24:13
184,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2LV5SGA8S4V8J,1.0,0.0,5.0,2020-12-10 18:36:17
185,credible,['bard'],exculpatory_conditional,0.0,A37FX0R0ONGZBT,3.0,0.0,10.0,2020-12-10 18:56:30
186,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,AYHK8DTZONHKC,6.0,6.0,31.0,2020-12-10 19:16:29
187,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A3QPHYMDXHB782,6.0,6.0,31.0,2020-12-10 19:00:56
188,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A33YPBYXXZP3HY,1.0,0.0,2.0,2020-12-10 19:08:49
189,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A37KUCVO09R832,1.0,0.0,2.0,2020-12-10 19:13:58
190,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,AG9SELXHPZ7GJ,,,1.0,2020-12-11 03:22:39
191,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A23AQNRU1PDKQG,4.0,1.0,17.0,2020-12-10 19:25:12
192,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3D27P6AKBZISS,2.0,1.0,7.0,2020-12-10 19:28:40
193,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A5WWHKD82I8UE,6.0,6.0,31.0,2020-12-10 19:36:05
194,credible,['bard'],exculpatory_conditional,0.0,A1IZ4NX41GKU4X,1.0,1.0,2.0,2020-12-10 19:32:49
195,random,['bard'],exculpatory_conditional,0.0,ALWEKN6GSWA8Q,,,,
196,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,ACMCJFX5P8UGL,,,2.0,2020-12-10 20:16:56
197,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A2WNCIZ47VXDIC,6.0,6.0,31.0,2020-12-10 20:43:06
198,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1WN4CVHDGVH2Y,5.0,3.0,25.0,2020-12-10 20:58:16
199,inculpatory,['bard'],exculpatory_conditional,0.0,A23B9UVYZ52CL0,4.0,4.0,19.0,2020-12-10 21:09:42
200,credible,['bard'],exculpatory_conditional,0.0,A3KHKFLJZN00QI,1.0,0.0,2.0,2020-12-10 21:09:34
201,inculpatory,['bard'],exculpatory_conditional,1.0,AMI8H1U9OH4SM,6.0,6.0,31.0,2020-12-10 21:22:35
202,random,['bard'],exculpatory_conditional,1.0,A3RQXIFANS2E9Q,6.0,5.0,31.0,2020-12-10 22:04:51
203,random,['bard'],exculpatory_conditional,0.0,A2YFA016X589O,1.0,1.0,2.0,2020-12-10 22:06:58
204,random,['bard'],exculpatory_conditional,1.0,A3SV5X0R9ARFOK,6.0,6.0,31.0,2020-12-10 22:13:13
205,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3PNGAPUL4IW9M,1.0,0.0,2.0,2020-12-10 22:35:00
206,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A1KMEBRRTN67LP,6.0,6.0,31.0,2020-12-10 22:38:57
207,random,['bard'],exculpatory_conditional,1.0,AZ2P6DGG5M6SH,6.0,6.0,31.0,2020-12-10 22:44:30
208,inculpatory,['bard'],exculpatory_conditional,1.0,A2ZD06QDBVKF59,6.0,6.0,31.0,2020-12-10 22:59:33
209,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A1BJFYHXK6YDX1,6.0,4.0,31.0,2020-12-11 01:31:31
210,inculpatory,['bard'],exculpatory_conditional,0.0,A2462PPGARQY26,3.0,0.0,11.0,2020-12-11 00:00:23
